id,forecastVolum
1,260
2,350
3,164
4,302
5,430
6,174
7,472
8,192
9,2402
10,359
11,732
12,184
13,305
14,362
15,633
16,435
17,307
18,267
19,597
20,121
21,293
22,249
23,323
24,314
25,211
26,235
27,656
28,390
29,973
30,305
31,7904
32,754
33,1506
34,409
35,787
36,813
37,1248
38,660
39,635
40,996
41,1083
42,237
43,361
44,518
45,174
46,350
47,260
48,432
49,490
50,173
51,460
52,188
53,1650
54,228
55,492
56,145
57,469
58,443
59,473
60,327
61,286
62,136
63,497
64,191
65,310
66,266
67,106
68,203
69,123
70,45
71,370
72,230
73,279
74,135
75,2296
76,301
77,757
78,213
79,323
80,370
81,807
82,413
83,371
84,283
85,224
86,97
87,177
88,145
89,173
90,3537
91,480
92,57
93,1763
94,1906
95,3992
96,1872
97,1711
98,2458
99,2314
100,928
101,3798
102,4509
103,1487
104,1497
105,1911
106,454
107,939
108,239
109,1857
110,488
111,347
112,505
113,504
114,71
115,1212
116,1543
117,1659
118,595
119,6034
120,686
121,1625
122,950
123,2119
124,2599
125,994
126,1496
127,1624
128,383
129,319
130,617
131,596
132,435
133,1339
134,242
135,164
136,1463
137,404
138,414
139,1353
140,334
141,1221
142,141
143,1335
144,227
145,840
146,862
147,1014
148,336
149,244
150,271
151,422
152,161
153,402
154,248
155,253
156,50
157,13
158,21
159,215
160,332
161,243
162,34
163,207
164,56
165,687
166,165
167,124
168,223
169,358
170,200
171,160
172,98
173,23
174,48
175,104
176,0
177,802
178,287
179,250
180,399
181,897
182,885
183,772
184,295
185,753
186,245
187,1175
188,771
189,637
190,895
191,697
192,930
193,870
194,357
195,227
196,284
197,322
198,133
199,841
200,270
201,303
202,63
203,1117
204,1290
205,1762
206,543
207,840
208,531
209,2819
210,941
211,1283
212,1518
213,1159
214,925
215,798
216,708
217,210
218,296
219,540
220,123
221,88
222,327
223,225
224,213
225,1169
226,839
227,1511
228,631
229,1038
230,653
231,887
232,844
233,1195
234,1724
235,1242
236,984
237,967
238,500
239,182
240,453
241,1150
242,97
243,56
244,461
245,305
246,36
247,860
248,606
249,1238
250,745
251,819
252,522
253,562
254,625
255,1380
256,1452
257,536
258,620
259,810
260,262
261,392
262,357
263,830
264,243
265,108
266,1040
267,588
268,60
269,1572
270,1231
271,1928
272,846
273,1002
274,744
275,1384
276,1058
277,1945
278,2213
279,866
280,1163
281,1114
282,510
283,306
284,458
285,938
286,502
287,292
288,1196
289,809
290,164
291,2097
292,2251
293,3174
294,787
295,1544
296,793
297,2772
298,1250
299,2379
300,4368
301,1440
302,1597
303,2039
304,661
305,739
306,771
307,912
308,564
309,616
310,463
311,480
312,940
313,752
314,930
315,1268
316,796
317,470
318,148
319,1461
320,336
321,1547
322,1044
323,668
324,368
325,459
326,310
327,183
328,409
329,620
330,73
331,9
332,713
333,434
334,134
335,1436
336,315
337,1628
338,574
339,1185
340,361
341,444
342,307
343,1499
344,1253
345,328
346,400
347,1011
348,327
349,616
350,136
351,448
352,768
353,1179
354,574
355,298
356,163
357,1105
358,1124
359,1544
360,581
361,673
362,318
363,1659
364,803
365,1597
366,2313
367,737
368,743
369,880
370,332
371,296
372,493
373,551
374,207
375,181
376,561
377,476
378,31
379,965
380,707
381,1799
382,1096
383,297
384,207
385,1126
386,382
387,1571
388,1329
389,373
390,219
391,363
392,214
393,367
394,214
395,625
396,324
397,360
398,492
399,573
400,1125
401,1240
402,731
403,1640
404,506
405,916
406,283
407,1478
408,422
409,1689
410,1672
411,811
412,629
413,557
414,478
415,768
416,485
417,591
418,971
419,367
420,296
421,90
422,69
423,477
424,541
425,617
426,74
427,475
428,125
429,759
430,385
431,398
432,402
433,816
434,515
435,478
436,257
437,136
438,157
439,143
440,102
441,240
442,355
443,288
444,167
445,1066
446,795
447,1034
448,349
449,479
450,242
451,1295
452,339
453,1318
454,1313
455,805
456,610
457,439
458,318
459,350
460,284
461,349
462,325
463,362
464,163
465,156
466,262
467,356
468,343
469,665
470,139
471,277
472,114
473,958
474,188
475,778
476,573
477,824
478,230
479,232
480,179
481,169
482,54
483,194
484,141
485,0
486,18
487,21
488,0
489,111
490,272
491,408
492,151
493,27
494,22
495,151
496,26
497,404
498,225
499,15
500,137
501,134
502,0
503,76
504,26
505,71
506,45
507,743
508,289
509,129
510,785
511,718
512,398
513,647
514,163
515,1343
516,184
517,1620
518,279
519,417
520,367
521,1551
522,418
523,337
524,561
525,302
526,281
527,270
528,103
529,291
530,177
531,104
532,254
533,415
534,230
535,324
536,107
537,528
538,143
539,730
540,167
541,213
542,201
543,617
544,288
545,213
546,242
547,141
548,151
549,152
550,70
551,793
552,362
553,158
554,903
555,752
556,403
557,689
558,177
559,1322
560,195
561,1368
562,265
563,418
564,423
565,1258
566,558
567,355
568,506
569,355
570,306
571,316
572,114
573,98
574,20
575,6
576,70
577,57
578,48
579,133
580,1
581,107
582,1
583,275
584,9
585,94
586,55
587,241
588,37
589,23
590,6
591,21
592,0
593,24
594,0
595,472
596,198
597,156
598,451
599,553
600,364
601,540
602,145
603,756
604,118
605,1146
606,226
607,442
608,372
609,1051
610,382
611,347
612,265
613,374
614,194
615,294
616,122
617,282
618,125
619,94
620,135
621,236
622,180
623,308
624,86
625,337
626,76
627,587
628,154
629,224
630,160
631,572
632,257
633,187
634,149
635,74
636,68
637,103
638,27
639,471
640,269
641,167
642,623
643,588
644,311
645,593
646,131
647,1096
648,181
649,1179
650,266
651,408
652,384
653,941
654,520
655,368
656,279
657,303
658,205
659,279
660,122
661,592
662,274
663,81
664,548
665,606
666,405
667,538
668,88
669,1382
670,165
671,1398
672,235
673,471
674,376
675,1330
676,334
677,407
678,391
679,258
680,256
681,236
682,75
683,187
684,641
685,150
686,23
687,530
688,1268
689,2087
690,467
691,2764
692,2321
693,1742
694,486
695,1233
696,4704
697,662
698,641
699,1087
700,307
701,369
702,162
703,665
704,346
705,361
706,155
707,225
708,2
709,455
710,259
711,521
712,156
713,117
714,44
715,749
716,238
717,480
718,421
719,323
720,133
721,275
722,146
723,27
724,74
725,376
726,33
727,727
728,155
729,59
730,94
731,232
732,115
733,309
734,65
735,98
736,42
737,411
738,80
739,216
740,206
741,289
742,92
743,121
744,83
745,26
746,86
747,134
748,25
749,209
750,110
751,91
752,406
753,470
754,257
755,800
756,204
757,1356
758,312
759,835
760,271
761,518
762,338
763,688
764,558
765,456
766,604
767,266
768,365
769,190
770,92
771,216
772,363
773,494
774,564
775,774
776,261
777,703
778,272
779,1606
780,320
781,598
782,302
783,785
784,682
785,566
786,1176
787,605
788,342
789,548
790,535
791,530
792,309
793,23
794,123
795,83
796,2
797,270
798,144
799,209
800,61
801,439
802,129
803,369
804,215
805,192
806,303
807,321
808,178
809,265
810,147
811,115
812,82
813,67
814,41
815,222
816,230
817,271
818,160
819,706
820,412
821,1500
822,604
823,7347
824,1353
825,1586
826,859
827,1426
828,1407
829,1086
830,820
831,1141
832,787
833,1000
834,383
835,303
836,480
837,236
838,448
839,343
840,357
841,564
842,488
843,955
844,513
845,2577
846,326
847,657
848,367
849,768
850,831
851,620
852,1089
853,697
854,616
855,588
856,221
857,531
858,551
859,132
860,352
861,221
862,89
863,411
864,376
865,618
866,234
867,1560
868,284
869,813
870,312
871,543
872,656
873,743
874,773
875,355
876,434
877,306
878,135
879,252
880,188
881,162
882,31
883,38
884,242
885,64
886,77
887,335
888,96
889,737
890,36
891,345
892,46
893,256
894,175
895,335
896,67
897,39
898,69
899,112
900,35
901,51
902,46
903,142
904,282
905,105
906,93
907,383
908,278
909,421
910,173
911,2479
912,264
913,471
914,264
915,350
916,393
917,466
918,436
919,371
920,414
921,233
922,124
923,151
924,123
925,262
926,131
927,190
928,322
929,331
930,342
931,809
932,275
933,2070
934,136
935,845
936,265
937,677
938,558
939,1003
940,528
941,496
942,387
943,736
944,136
945,219
946,329
947,278
948,61
949,49
950,367
951,266
952,119
953,234
954,45
955,417
956,49
957,256
958,64
959,138
960,124
961,103
962,127
963,120
964,86
965,77
966,113
967,116
968,44
969,90
970,87
971,55
972,0
973,231
974,413
975,379
976,89
977,353
978,50
979,524
980,268
981,260
982,502
983,546
984,254
985,214
986,146
987,9
988,32
989,70
990,5
991,48
992,81
993,58
994,4
995,191
996,243
997,378
998,53
999,111
1000,44
1001,265
1002,176
1003,279
1004,310
1005,207
1006,249
1007,205
1008,102
1009,55
1010,46
1011,123
1012,32
1013,249
1014,113
1015,49
1016,120
1017,677
1018,739
1019,696
1020,129
1021,621
1022,161
1023,1590
1024,488
1025,454
1026,1416
1027,845
1028,497
1029,427
1030,404
1031,139
1032,264
1033,238
1034,57
1035,38
1036,178
1037,300
1038,5
1039,478
1040,259
1041,1163
1042,570
1043,303
1044,213
1045,321
1046,189
1047,1265
1048,697
1049,348
1050,203
1051,248
1052,227
1053,446
1054,94
1055,294
1056,259
1057,240
1058,277
1059,186
1060,157
1061,635
1062,857
1063,643
1064,197
1065,489
1066,161
1067,820
1068,561
1069,733
1070,1011
1071,877
1072,564
1073,471
1074,272
1075,115
1076,218
1077,318
1078,69
1079,133
1080,116
1081,0
1082,0
1083,212
1084,201
1085,267
1086,41
1087,217
1088,65
1089,439
1090,134
1091,267
1092,223
1093,225
1094,154
1095,113
1096,151
1097,18
1098,60
1099,112
1100,0
1123,328
1124,189
1125,27
1126,31
1127,522
1128,539
1129,403
1130,44
1131,837
1132,202
1133,1025
1134,275
1135,360
1136,494
1137,627
1138,368
1139,328
1140,438
1141,60
1142,293
1143,155
1144,20
1145,333
1146,392
1147,225
1148,383
1149,738
1150,309
1151,752
1152,164
1153,1088
1154,203
1155,643
1156,223
1157,609
1158,602
1159,402
1160,380
1161,432
1162,233
1163,241
1164,411
1165,311
1166,259
1167,161
1168,272
1169,174
1170,25
1171,645
1172,883
1173,778
1174,282
1175,658
1176,370
1177,1057
1178,439
1179,766
1180,1678
1181,371
1182,430
1183,718
1184,360
1185,114
1186,323
1187,676
1188,67
1189,32
1190,86
1191,145
1192,0
1193,179
1194,221
1195,428
1196,85
