id,forecastVolum
1,286
2,380
3,197
4,354
5,455
6,192
7,453
8,227
9,2569
10,411
11,698
12,242
13,293
14,403
15,573
16,472
17,375
18,323
19,667
20,144
21,299
22,310
23,241
24,194
25,110
26,118
27,402
28,204
29,608
30,198
31,5953
32,717
33,1266
34,339
35,364
36,508
37,1004
38,590
39,582
40,785
41,1048
42,106
43,228
44,348
45,169
46,321
47,266
48,468
49,435
50,158
51,444
52,195
53,1698
54,224
55,485
56,154
57,403
58,367
59,415
60,307
61,290
62,186
63,507
64,219
65,305
66,308
67,87
68,120
69,52
70,59
71,244
72,245
73,219
74,53
75,2864
76,249
77,669
78,192
79,171
80,298
81,706
82,409
83,372
84,272
85,273
86,86
87,115
88,89
89,298
90,4082
91,411
92,135
93,1903
94,2039
95,3953
96,1850
97,1515
98,2924
99,1977
100,1159
101,3809
102,5843
103,1317
104,1760
105,2358
106,448
107,745
108,431
109,1921
110,367
111,350
112,377
113,460
114,0
115,1135
116,1342
117,1902
118,488
119,5197
120,812
121,1618
122,938
123,2025
124,2943
125,814
126,1638
127,1611
128,365
129,271
130,560
131,552
132,323
133,1171
134,152
135,100
136,1202
137,313
138,385
139,1001
140,207
141,977
142,106
143,1044
144,139
145,665
146,705
147,762
148,233
149,196
150,159
151,260
152,85
153,279
154,133
155,323
156,58
157,5
158,41
159,199
160,370
161,262
162,5
163,261
164,31
165,793
166,172
167,120
168,202
169,488
170,202
171,199
172,73
173,10
174,39
175,77
176,0
177,982
178,321
179,274
180,430
181,959
182,1072
183,1129
184,299
185,909
186,321
187,1345
188,872
189,681
190,1085
191,861
192,1122
193,1165
194,420
195,210
196,268
197,364
198,103
199,689
200,132
201,126
202,0
203,1054
204,1437
205,2028
206,256
207,421
208,286
209,2452
210,902
211,1094
212,1880
213,1083
214,929
215,1116
216,491
217,37
218,90
219,366
220,0
221,98
222,313
223,240
224,99
225,965
226,785
227,1646
228,628
229,761
230,677
231,742
232,944
233,1080
234,2023
235,1326
236,832
237,987
238,535
239,123
240,395
241,896
242,84
243,77
244,429
245,338
246,27
247,729
248,531
249,1206
250,686
251,683
252,477
253,473
254,562
255,1317
256,1275
257,404
258,560
259,728
260,243
261,292
262,296
263,767
264,193
265,315
266,1093
267,617
268,143
269,1643
270,1444
271,1928
272,958
273,1030
274,805
275,1462
276,1085
277,1837
278,2014
279,1188
280,1212
281,1262
282,612
283,385
284,569
285,1041
286,511
287,568
288,1181
289,787
290,91
291,2384
292,2163
293,2937
294,1080
295,1607
296,870
297,2665
298,1347
299,2452
300,4242
301,1415
302,1821
303,2277
304,666
305,829
306,715
307,934
308,519
309,767
310,469
311,457
312,975
313,789
314,1100
315,1274
316,966
317,375
318,183
319,1498
320,397
321,1417
322,1254
323,635
324,444
325,500
326,364
327,190
328,477
329,616
330,139
331,0
332,793
333,478
334,0
335,1475
336,158
337,1943
338,589
339,792
340,249
341,144
342,200
343,1993
344,1483
345,0
346,332
347,1108
348,202
349,591
350,44
351,449
352,684
353,1098
354,297
355,44
356,300
357,1181
358,1483
359,1849
360,570
361,432
362,136
363,1896
364,884
365,1944
366,2447
367,732
368,930
369,1291
370,419
371,12
372,197
373,487
374,0
375,232
376,346
377,386
378,27
379,932
380,677
381,2579
382,1032
383,182
384,265
385,626
386,418
387,2347
388,1672
389,221
390,168
391,473
392,182
393,403
394,174
395,728
396,294
397,357
398,415
399,544
400,1035
401,1225
402,669
403,1810
404,488
405,806
406,282
407,1286
408,382
409,1837
410,1572
411,734
412,551
413,506
414,452
415,780
416,446
417,500
418,889
419,756
420,426
421,185
422,439
423,934
424,920
425,922
426,156
427,741
428,188
429,1168
430,666
431,664
432,744
433,1226
434,840
435,779
436,529
437,161
438,288
439,313
440,146
441,259
442,200
443,215
444,232
445,1114
446,769
447,1342
448,277
449,379
450,163
451,1466
452,319
453,1697
454,1711
455,867
456,572
457,505
458,358
459,258
460,133
461,270
462,262
463,346
464,83
465,60
466,296
467,328
468,341
469,909
470,46
471,275
472,0
473,1188
474,166
475,803
476,619
477,786
478,228
479,199
480,157
481,85
482,0
483,116
484,65
485,113
486,82
487,97
488,119
489,248
490,444
491,686
492,192
493,109
494,94
495,244
496,133
497,571
498,376
499,104
500,209
501,239
502,76
503,118
504,114
505,140
506,104
507,639
508,248
509,124
510,630
511,604
512,370
513,503
514,131
515,1133
516,164
517,1633
518,258
519,347
520,310
521,1262
522,365
523,305
524,475
525,245
526,247
527,256
528,98
529,297
530,169
531,95
532,273
533,389
534,220
535,327
536,96
537,546
538,104
539,771
540,156
541,205
542,185
543,683
544,265
545,225
546,224
547,135
548,134
549,157
550,74
551,780
552,357
553,165
554,833
555,746
556,424
557,648
558,177
559,1059
560,184
561,1146
562,276
563,496
564,430
565,991
566,518
567,398
568,476
569,344
570,332
571,351
572,150
573,101
574,15
575,0
576,96
577,74
578,54
579,101
580,0
581,130
582,0
583,277
584,18
585,62
586,50
587,213
588,53
589,44
590,28
591,25
592,9
593,29
594,0
595,478
596,171
597,107
598,436
599,450
600,327
601,410
602,96
603,627
604,78
605,931
606,210
607,367
608,344
609,1004
610,319
611,288
612,234
613,264
614,121
615,230
616,109
617,316
618,102
619,43
620,173
621,249
622,182
623,286
624,16
625,471
626,34
627,670
628,114
629,170
630,143
631,623
632,279
633,206
634,145
635,82
636,43
637,104
638,3
639,537
640,277
641,160
642,730
643,546
644,323
645,557
646,113
647,1139
648,172
649,1172
650,247
651,388
652,385
653,1043
654,500
655,431
656,290
657,271
658,185
659,275
660,117
661,560
662,248
663,62
664,499
665,524
666,316
667,441
668,53
669,1192
670,114
671,1253
672,205
673,385
674,273
675,1426
676,296
677,348
678,322
679,221
680,190
681,200
682,62
683,297
684,952
685,193
686,115
687,821
688,1562
689,2460
690,639
691,3388
692,2481
693,1817
694,608
695,1500
696,5145
697,601
698,853
699,1460
700,337
701,378
702,235
703,893
704,325
705,589
706,170
707,229
708,81
709,423
710,286
711,621
712,155
713,50
714,56
715,883
716,224
717,429
718,376
719,255
720,193
721,314
722,128
723,8
724,89
725,394
726,38
727,430
728,123
729,50
730,139
731,154
732,132
733,239
734,46
735,110
736,27
737,366
738,67
739,152
740,156
741,189
742,111
743,123
744,75
745,34
746,47
747,120
748,24
749,235
750,84
751,105
752,421
753,492
754,248
755,598
756,166
757,1356
758,283
759,863
760,372
761,474
762,330
763,625
764,475
765,403
766,489
767,242
768,356
769,151
770,99
771,287
772,388
773,490
774,726
775,909
776,277
777,723
778,263
779,1769
780,314
781,622
782,301
783,757
784,648
785,513
786,1279
787,711
788,412
789,611
790,458
791,534
792,314
793,54
794,101
795,66
796,32
797,182
798,142
799,195
800,64
801,537
802,114
803,405
804,190
805,148
806,211
807,334
808,180
809,201
810,137
811,107
812,96
813,77
814,46
815,153
816,66
817,175
818,0
819,428
820,295
821,1487
822,481
823,4934
824,1300
825,1195
826,647
827,1057
828,1458
829,450
830,729
831,1139
832,787
833,1264
834,56
835,218
836,373
837,278
838,459
839,400
840,238
841,573
842,472
843,1146
844,396
845,2621
846,442
847,927
848,429
849,880
850,1080
851,717
852,1228
853,677
854,609
855,822
856,210
857,461
858,566
859,118
860,299
861,168
862,80
863,415
864,343
865,565
866,192
867,2078
868,259
869,911
870,318
871,490
872,583
873,714
874,943
875,429
876,431
877,293
878,134
879,223
880,203
881,188
882,38
883,28
884,320
885,77
886,98
887,363
888,94
889,841
890,42
891,371
892,44
893,275
894,215
895,350
896,69
897,54
898,82
899,131
900,30
901,42
902,60
903,195
904,309
905,109
906,120
907,440
908,339
909,505
910,168
911,3040
912,337
913,750
914,324
915,426
916,454
917,783
918,651
919,500
920,486
921,297
922,124
923,151
924,130
925,386
926,199
927,215
928,435
929,388
930,369
931,900
932,308
933,2349
934,206
935,964
936,307
937,758
938,613
939,1066
940,626
941,518
942,461
943,788
944,153
945,224
946,364
947,295
948,78
949,47
950,404
951,290
952,127
953,210
954,45
955,392
956,46
957,246
958,70
959,122
960,128
961,134
962,144
963,143
964,98
965,84
966,119
967,128
968,56
969,139
970,123
971,71
972,70
973,293
974,531
975,465
976,121
977,387
978,103
979,663
980,325
981,397
982,638
983,604
984,330
985,339
986,177
987,78
988,71
989,120
990,26
991,99
992,146
993,101
994,110
995,203
996,320
997,349
998,87
999,113
1000,75
1001,306
1002,220
1003,264
1004,323
1005,329
1006,297
1007,299
1008,110
1009,114
1010,103
1011,148
1012,81
1013,237
1014,148
1015,60
1016,148
1017,455
1018,811
1019,734
1020,137
1021,630
1022,188
1023,1791
1024,443
1025,469
1026,1553
1027,867
1028,456
1029,448
1030,293
1031,116
1032,250
1033,222
1034,47
1035,69
1036,158
1037,277
1038,96
1039,480
1040,320
1041,1150
1042,559
1043,333
1044,231
1045,289
1046,222
1047,1231
1048,895
1049,193
1050,163
1051,271
1052,162
1053,428
1054,116
1055,307
1056,212
1057,206
1058,311
1059,129
1060,214
1061,586
1062,750
1063,679
1064,110
1065,474
1066,145
1067,993
1068,443
1069,660
1070,1171
1071,1045
1072,517
1073,454
1074,224
1075,88
1076,166
1077,213
1078,29
1079,175
1080,150
1081,43
1082,53
1083,285
1084,270
1085,404
1086,96
1087,318
1088,118
1089,650
1090,160
1091,446
1092,438
1093,392
1094,181
1095,170
1096,200
1097,42
1098,149
1099,163
1100,22
1123,325
1124,179
1125,25
1126,128
1127,509
1128,524
1129,375
1130,45
1131,1069
1132,190
1133,1064
1134,279
1135,294
1136,502
1137,850
1138,357
1139,354
1140,440
1141,68
1142,275
1143,154
1144,14
1145,371
1146,446
1147,281
1148,444
1149,740
1150,376
1151,758
1152,237
1153,1168
1154,307
1155,756
1156,277
1157,678
1158,710
1159,451
1160,443
1161,468
1162,337
1163,268
1164,470
1165,363
1166,310
1167,285
1168,228
1169,152
1170,142
1171,790
1172,1051
1173,1025
1174,252
1175,596
1176,301
1177,1175
1178,450
1179,861
1180,1477
1181,393
1182,550
1183,860
1184,334
1185,89
1186,333
1187,498
1188,55
1189,106
1190,138
1191,202
1192,90
1193,266
1194,324
1195,508
1196,128
1197,91
1198,92
1199,207
1200,201
1201,286
1202,471
1203,93
1204,317
1205,567
1206,75
1207,96
1208,160
1209,366
1210,106
1211,93
1212,353
1213,244
1214,49
1215,1010
1216,445
1217,738
1218,461
1219,401
1220,200
1221,533
1222,318
1223,978
1224,966
1225,282
1226,334
1227,508
1228,125
1229,74
1230,564
1231,581
1232,71
1233,346
1234,799
1235,485
1236,298
1237,2026
1238,968
1239,1072
1240,441
1241,964
1242,374
1243,1440
1244,518
1245,1211
1246,1901
1247,785
1248,783
1249,1406
1250,380
1251,175
1252,1500
1253,897
1254,161
1255,71
1256,1028
1257,33
1258,119
1259,442
1260,201
1261,439
1262,128
1263,360
1264,71
1265,506
1266,106
1267,460
1268,657
1269,309
1270,334
1271,244
1272,105
1273,104
1274,411
1275,192
1276,5
1277,100
1278,146
1279,81
1280,143
1281,512
1282,232
1283,397
1284,171
1285,202
1286,141
1287,368
1288,128
1289,472
1290,562
1291,171
1292,119
1293,265
1294,89
1295,19
1296,502
1297,324
1298,0
1299,417
1300,109
1301,67
1302,118
1303,393
1304,618
1305,725
1306,158
1307,303
1308,128
1309,831
1310,403
1311,472
1312,896
1313,293
1314,444
1315,454
1316,71
1317,2
1318,36
1319,199
1320,0
1321,145
1322,138
1323,86
1324,85
1325,301
1326,248
1327,162
1328,53
1329,545
1330,246
1331,414
1332,119
1333,112
1334,143
1335,379
1336,273
1337,368
1338,126
1339,99
1340,145
1341,262
1342,66
1343,201
1344,208
1345,142
1346,242
1347,265
1348,96
1349,303
1350,155
1351,1688
1352,244
1353,430
1354,106
1355,246
1356,260
1357,360
1358,231
1359,187
1360,216
1361,505
1362,93
1363,211
1364,247
1365,214
1366,331
1367,222
1368,109
1369,465
1370,210
1371,608
1372,293
1373,5393
1374,583
1375,1339
1376,322
1377,549
1378,485
1379,1030
1380,458
1381,432
1382,845
1383,1158
1384,192
1385,211
1386,517
1387,118
1388,206
1389,183
1390,342
1391,266
1392,71
1393,296
1394,120
1395,1151
1396,129
1397,309
1398,68
1399,298
1400,227
1401,284
1402,181
1403,158
1404,97
1405,341
1406,127
1407,200
1408,186
1409,41
1410,118
1411,70
1412,22
1413,190
1414,119
1415,206
1416,64
1417,2145
1418,209
1419,593
1420,136
1421,284
1422,261
1423,604
1424,218
1425,209
1426,250
1427,257
1428,92
1429,99
1430,117
1431,232
1432,3093
1433,560
1434,199
1435,1637
1436,1748
1437,2705
1438,1366
1439,1419
1440,1795
1441,2004
1442,891
1443,2941
1444,3029
1445,1358
1446,1160
1447,1491
1448,707
1449,1023
1450,432
1451,1171
1452,622
1453,69
1454,256
1455,323
1456,0
1457,641
1458,647
1459,909
1460,329
1461,3193
1462,398
1463,904
1464,438
1465,1333
1466,1514
1467,283
1468,661
1469,801
1470,215
1471,216
1472,221
1473,300
1474,307
1475,985
1476,107
1477,101
1478,1107
1479,298
1480,258
1481,879
1482,172
1483,672
1484,69
1485,940
1486,111
1487,562
1488,562
1489,660
1490,176
1491,114
1492,165
1493,231
1494,90
1495,244
1496,123
1497,210
1498,32
1499,4
1500,41
1501,139
1502,182
1503,182
1504,4
1505,95
