id,forecastVolum
1,258
2,393
3,188
4,345
5,424
6,217
7,482
8,223
9,2520
10,378
11,742
12,224
13,309
14,405
15,613
16,480
17,367
18,340
19,655
20,149
21,307
22,309
23,95
24,194
25,100
26,12
27,499
28,188
29,674
30,219
31,6000
32,735
33,1335
34,330
35,406
36,602
37,955
38,560
39,534
40,786
41,957
42,117
43,179
44,347
45,168
46,340
47,262
48,477
49,428
50,199
51,418
52,187
53,1688
54,204
55,450
56,149
57,416
58,371
59,373
60,334
61,298
62,181
63,485
64,192
65,294
66,296
67,38
68,123
69,41
70,7
71,235
72,196
73,226
74,69
75,2885
76,262
77,554
78,153
79,214
80,292
81,635
82,385
83,377
84,328
85,270
86,73
87,99
88,58
89,310
90,3935
91,562
92,69
93,1826
94,2271
95,3917
96,1931
97,1484
98,2790
99,2175
100,1323
101,3775
102,5698
103,1133
104,1620
105,2290
106,455
107,710
108,516
109,1974
110,490
111,308
112,446
113,412
114,0
115,1192
116,1396
117,1927
118,468
119,5223
120,755
121,1743
122,902
123,2004
124,2754
125,909
126,1526
127,1568
128,337
129,265
130,583
131,567
132,321
133,1211
134,199
135,93
136,1288
137,330
138,371
139,1044
140,213
141,1019
142,105
143,1119
144,147
145,652
146,702
147,759
148,231
149,193
150,165
151,275
152,84
153,310
154,124
155,348
156,68
157,22
158,87
159,234
160,351
161,301
162,24
163,203
164,70
165,819
166,160
167,125
168,252
169,521
170,203
171,214
172,91
173,26
174,53
175,104
176,0
177,863
178,376
179,290
180,484
181,1003
182,1010
183,1024
184,296
185,815
186,309
187,1385
188,818
189,710
190,1007
191,780
192,1105
193,1112
194,466
195,204
196,307
197,388
198,117
199,681
200,125
201,17
202,0
203,1072
204,1531
205,2202
206,195
207,391
208,272
209,2498
210,963
211,1215
212,1937
213,1123
214,941
215,1134
216,506
217,0
218,18
219,209
220,0
221,39
222,218
223,185
224,81
225,1050
226,867
227,1720
228,587
229,664
230,618
231,851
232,928
233,1144
234,2073
235,1284
236,951
237,1016
238,517
239,70
240,416
241,968
242,0
243,42
244,388
245,335
246,7
247,731
248,584
249,1286
250,689
251,589
252,483
253,489
254,579
255,1330
256,1377
257,370
258,600
259,768
260,250
261,269
262,308
263,789
264,179
265,248
266,1099
267,632
268,49
269,1531
270,1480
271,1908
272,959
273,884
274,808
275,1448
276,1082
277,1927
278,2001
279,1078
280,1217
281,1256
282,600
283,397
284,563
285,1039
286,553
287,425
288,1186
289,744
290,0
291,2545
292,2128
293,2899
294,1010
295,1819
296,889
297,2792
298,1498
299,2417
300,4219
301,1467
302,1851
303,2190
304,644
305,777
306,788
307,988
308,480
309,842
310,470
311,494
312,1047
313,857
314,1053
315,1283
316,892
317,270
318,192
319,1551
320,415
321,1432
322,1173
323,637
324,455
325,502
326,395
327,249
328,477
329,642
330,139
331,0
332,894
333,473
334,0
335,1525
336,181
337,2002
338,557
339,522
340,304
341,264
342,293
343,2066
344,1530
345,86
346,311
347,1073
348,236
349,595
350,83
351,425
352,585
353,1141
354,407
355,120
356,188
357,1257
358,1306
359,2061
360,630
361,163
362,166
363,1943
364,851
365,1877
366,2245
367,615
368,942
369,1214
370,529
371,1
372,309
373,636
374,0
375,188
376,398
377,456
378,0
379,904
380,695
381,2641
382,1021
383,100
384,285
385,622
386,400
387,2426
388,1652
389,199
390,149
391,393
392,175
393,328
394,236
395,677
396,285
397,357
398,453
399,562
400,1134
401,1246
402,710
403,1723
404,515
405,653
406,306
407,1296
408,404
409,1788
410,1558
411,826
412,552
413,526
414,457
415,794
416,430
417,499
418,838
419,695
420,410
421,193
422,433
423,894
424,840
425,841
426,193
427,681
428,237
429,1218
430,634
431,628
432,758
433,1214
434,814
435,730
436,430
437,185
438,290
439,273
440,144
441,119
442,296
443,251
444,151
445,1345
446,778
447,1474
448,338
449,200
450,117
451,1580
452,365
453,1885
454,1730
455,823
456,618
457,493
458,319
459,298
460,135
461,289
462,267
463,221
464,29
465,24
466,221
467,362
468,280
469,849
470,16
471,222
472,0
473,1105
