id,forecastVolum
1,274
2,323
3,186
4,374
5,441
6,157
7,442
8,211
9,2198
10,358
11,698
12,170
13,277
14,370
15,582
16,446
17,335
18,306
19,649
20,124
21,295
22,307
23,382
24,343
25,232
26,385
27,695
28,335
29,958
30,358
31,4664
32,794
33,1460
34,451
35,670
36,753
37,1334
38,734
39,683
40,1103
41,1334
42,253
43,388
44,627
45,157
46,289
47,225
48,515
49,387
50,124
51,350
52,151
53,1497
54,183
55,407
56,106
57,330
58,318
59,363
60,246
61,238
62,112
63,461
64,155
65,252
66,258
67,173
68,204
69,132
70,191
71,420
72,254
73,406
74,152
75,2515
76,382
77,867
78,271
79,424
80,508
81,1043
82,551
83,515
84,514
85,528
86,169
87,223
88,223
89,214
90,2934
91,459
92,171
93,1381
94,1553
95,2968
96,1479
97,1597
98,2107
99,1752
100,925
101,2912
102,3360
103,1318
104,1225
105,1615
106,554
107,970
108,242
109,1452
110,626
111,332
112,444
113,598
114,202
115,1045
116,1180
117,1752
118,584
119,3794
120,667
121,1717
122,868
123,2002
124,2426
125,1002
126,1317
127,1674
128,345
129,333
130,641
131,529
132,510
133,1091
134,133
135,106
136,1104
137,263
138,267
139,901
140,186
141,727
142,84
143,898
144,131
145,453
146,564
147,649
148,181
149,136
150,175
151,261
152,114
153,263
154,163
155,430
156,64
157,41
158,77
159,246
160,381
161,392
162,45
163,216
164,70
165,986
166,206
167,136
168,264
169,631
170,232
171,210
172,86
173,54
174,47
175,109
176,20
177,968
178,422
179,365
180,604
181,967
182,914
183,1290
184,435
185,1086
186,360
187,1475
188,848
189,722
190,1142
191,980
192,1087
193,1161
194,494
195,338
196,401
197,412
198,206
199,1060
200,352
201,354
202,172
203,1336
204,1565
205,2377
206,604
207,1301
208,598
209,2841
210,1179
211,1384
212,1992
213,1845
214,1198
215,1252
216,765
217,450
218,374
219,631
220,227
221,88
222,177
223,190
224,402
225,885
226,651
227,1370
228,460
229,1014
230,456
231,934
232,650
233,815
234,1427
235,1414
236,606
237,906
238,570
239,191
240,350
241,792
242,103
243,49
244,268
245,200
246,100
247,633
248,370
249,1083
250,482
251,727
252,290
253,446
254,391
255,1050
256,1044
257,494
258,404
259,596
260,206
261,271
262,211
263,553
264,164
265,127
266,567
267,322
268,108
269,1178
270,940
271,1418
272,464
273,773
274,400
275,1130
276,641
277,1336
278,1366
279,908
280,775
281,662
282,364
283,282
284,321
285,498
286,448
287,474
288,1154
289,727
290,437
291,1996
292,1841
293,2831
294,770
295,1969
296,707
297,2797
298,1131
299,2174
300,3302
301,2073
302,1631
303,1901
304,708
305,929
306,752
307,777
308,666
309,703
310,382
311,448
312,1032
313,676
314,704
315,1174
316,699
317,382
318,129
319,1369
320,345
321,1201
322,982
323,619
324,327
