id,forecastVolum
1,278
2,398
3,177
4,346
5,431
6,199
7,451
8,229
9,2476
10,396
11,783
12,216
13,302
14,391
15,641
16,464
17,343
18,305
19,577
20,116
21,295
22,258
23,267
24,328
25,203
26,223
27,637
28,348
29,785
30,312
31,4986
32,722
33,1380
34,472
35,619
36,733
37,1062
38,680
39,642
40,845
41,1060
42,242
43,351
44,474
45,154
46,315
47,262
48,469
49,469
50,180
51,412
52,180
53,1545
54,202
55,464
56,139
57,431
58,405
59,404
60,308
61,280
62,151
63,475
64,182
65,285
66,268
67,101
68,163
69,94
70,91
71,298
72,221
73,244
74,100
75,2268
76,240
77,626
78,209
79,273
80,336
81,713
82,427
83,368
84,247
85,204
86,110
87,155
88,107
89,193
90,3691
91,497
92,110
93,1655
94,1876
95,3983
96,1722
97,1529
98,2469
99,2056
100,1121
101,3877
102,5165
103,1187
104,1651
105,1993
106,510
107,805
108,255
109,1715
110,525
111,293
112,473
113,529
114,118
115,1110
116,1301
117,1790
118,561
119,5013
120,743
121,1653
122,936
123,2112
124,3020
125,774
126,1394
127,1541
128,334
129,279
130,628
131,575
132,389
133,1148
134,151
135,111
136,1104
137,281
138,311
139,975
140,205
141,876
142,110
143,1041
144,148
145,584
146,629
147,665
148,210
149,151
150,162
151,241
152,100
153,275
154,141
155,298
156,46
157,31
158,53
159,201
160,332
161,293
162,34
163,146
164,61
165,713
166,143
167,103
168,186
169,483
170,185
171,167
172,74
173,31
174,34
175,82
176,16
177,813
178,357
179,294
180,462
181,935
182,985
183,973
184,349
185,845
186,333
187,1291
188,764
189,665
190,975
191,850
192,1027
193,1072
194,467
195,236
196,349
197,362
198,133
199,547
200,263
201,262
202,81
203,988
204,1391
205,1816
206,337
207,769
208,478
209,2267
210,897
211,949
212,1672
213,1087
214,878
215,925
216,549
217,189
218,264
219,388
220,104
221,69
222,303
223,254
224,112
225,1084
226,791
227,1576
228,518
229,876
230,608
231,877
232,841
233,1020
234,2104
235,1046
236,835
237,966
238,530
239,167
240,406
241,836
242,101
243,57
244,388
245,338
246,80
247,772
248,507
249,1269
250,601
251,669
252,456
253,491
254,554
255,1283
256,1359
257,460
258,571
259,723
260,250
261,273
262,298
263,744
264,165
265,144
266,1103
267,597
268,99
269,1769
270,1455
271,2051
272,839
273,1011
274,732
275,1502
276,1032
277,1910
278,2388
279,1026
280,1210
281,1244
282,564
283,354
284,482
285,1014
286,497
287,350
288,1278
289,813
290,190
291,2378
292,2131
293,3096
294,775
295,1637
296,851
297,2798
298,1367
299,2424
300,4327
301,1473
302,1757
303,2149
304,631
305,744
306,759
307,994
308,574
309,712
310,473
311,534
312,915
313,863
314,1014
315,1348
316,878
317,442
318,190
319,1639
320,410
321,1516
322,1205
323,694
324,433
325,500
326,344
327,221
328,464
329,649
330,101
331,54
332,764
333,501
334,148
335,1387
336,291
337,1694
338,562
339,961
340,380
341,476
342,283
343,1801
344,1311
345,409
346,393
347,1141
348,332
349,573
350,152
351,449
352,599
353,1084
354,557
355,285
356,226
357,1081
358,1173
359,1566
360,653
361,639
362,296
363,1751
364,776
365,1484
366,2081
367,715
368,790
369,875
370,478
371,227
372,471
373,642
374,131
375,229
376,436
377,445
378,87
379,906
380,647
381,2197
382,1089
383,329
384,261
385,878
386,422
387,1909
388,1536
389,438
390,243
391,425
392,201
393,331
394,233
395,604
396,304
397,323
398,444
399,547
400,1031
401,1299
402,710
403,1849
404,477
405,812
406,255
407,1327
408,381
409,1811
410,1618
411,764
412,622
413,543
414,420
415,660
416,414
417,491
418,819
419,614
420,448
421,188
422,252
423,788
424,777
425,816
426,158
427,716
428,204
429,1125
430,575
431,596
432,671
433,1089
434,706
435,733
436,468
437,183
438,319
439,280
440,152
441,241
442,364
443,353
444,296
445,1188
446,793
447,1184
448,397
449,540
450,228
451,1315
452,384
453,1454
454,1299
455,785
456,639
457,469
458,388
459,373
460,253
461,388
462,389
463,274
464,160
465,142
466,272
467,367
468,318
469,782
470,122
471,354
472,102
473,902
474,178
475,725
476,544
477,720
478,253
479,238
480,182
481,146
482,72
483,169
484,106
485,45
486,62
487,79
488,50
489,211
490,414
491,663
492,201
493,88
494,66
495,211
496,84
497,566
498,343
499,78
500,181
501,229
502,41
503,101
504,90
505,130
506,80
507,648
508,224
509,97
510,644
511,641
512,357
513,538
514,127
515,1130
516,160
517,1535
518,257
519,350
520,349
521,1274
522,390
523,315
524,484
525,241
526,249
527,261
528,91
529,286
530,165
531,86
532,262
533,400
534,198
535,327
536,96
537,528
538,121
539,763
540,155
541,189
542,183
543,665
544,270
545,194
546,235
547,114
548,138
549,145
550,60
551,790
552,329
553,147
554,825
555,726
556,379
557,614
558,164
559,1114
560,181
561,1326
562,247
563,452
564,403
565,1119
566,506
567,340
568,485
569,287
570,267
571,313
572,104
573,55
574,27
575,17
576,64
577,59
578,53
579,84
580,17
581,82
582,19
583,200
584,21
585,65
586,54
587,132
588,46
589,39
590,29
591,27
592,18
593,36
594,15
595,423
596,149
597,115
598,397
599,472
600,320
601,425
602,98
603,630
604,90
605,904
606,174
607,362
608,326
609,954
610,328
611,296
612,197
613,251
614,118
615,210
616,103
617,262
618,118
619,80
620,113
621,243
622,166
623,291
624,68
625,405
626,75
627,624
628,108
629,172
